Timestamp,recommended HH charge cell,TPH optimum,soft recommended HH charge cell
2021-09-15 09:24:00,935,4500.134,932.5
2021-09-15 09:25:00,935,4500.134,932.5
2021-09-15 09:26:00,935,4491.806,932.5
2021-09-15 09:27:00,935,4491.806,932.5
2021-09-15 09:28:00,935,4491.806,935.0
2021-09-15 09:29:00,935,4491.806,935.0
2021-09-15 09:30:00,935,4491.366,935.0
2021-09-15 09:31:00,935,4491.366,935.0
2021-09-15 09:32:00,935,4491.366,935.0
2021-09-15 09:33:00,935,4500.134,935.0
2021-09-15 09:34:00,935,4500.134,935.0
2021-09-15 09:35:00,935,4497.263,935.0
2021-09-15 09:36:00,935,4500.4307,935.0
2021-09-15 09:37:00,935,4497.5474,935.0
2021-09-15 09:38:00,935,4497.51,935.0
2021-09-15 09:39:00,935,4495.024,935.0
2021-09-15 09:40:00,935,4484.3403,935.0
2021-09-15 09:41:00,935,4484.3403,935.0
2021-09-15 09:42:00,935,4484.3403,935.0
2021-09-15 09:43:00,935,4484.3403,935.0
2021-09-15 09:44:00,935,4484.0796,935.0
2021-09-15 09:45:00,935,4493.108,935.0
2021-09-15 09:46:00,935,4493.108,935.0
2021-09-15 09:47:00,935,4494.7515,935.0
2021-09-15 09:48:00,935,4494.7515,935.0
2021-09-15 09:49:00,935,4495.2847,935.0
2021-09-15 09:50:00,935,4497.7705,935.0
2021-09-15 09:51:00,935,4497.7705,935.0
2021-09-15 09:52:00,935,4497.7705,935.0
2021-09-15 09:53:00,935,4497.7705,935.0
2021-09-15 09:54:00,935,4498.2104,935.0
2021-09-15 09:55:00,935,4498.2104,935.0
2021-09-15 09:56:00,935,4497.7705,935.0
2021-09-15 09:57:00,935,4496.136,935.0
2021-09-15 09:58:00,935,4497.8066,935.0
2021-09-15 09:59:00,935,4498.0674,935.0
2021-09-15 10:00:00,935,4500.2686,935.0
2021-09-15 10:01:00,935,4493.0146,935.0
2021-09-15 10:02:00,935,4492.9136,935.0
2021-09-15 10:03:00,935,4492.9136,935.0
2021-09-15 10:04:00,935,4492.9136,935.0
2021-09-15 10:05:00,935,4493.406,935.0
2021-09-15 10:06:00,935,4493.406,935.0
2021-09-15 10:07:00,935,4490.626,935.0
2021-09-15 10:08:00,935,4490.8867,935.0
2021-09-15 10:09:00,935,4490.626,935.0
2021-09-15 10:10:00,935,4490.626,935.0
2021-09-15 10:11:00,935,4492.2695,935.0
2021-09-15 10:12:00,935,4492.2695,935.0
2021-09-15 10:13:00,935,4492.5303,935.0
2021-09-15 10:14:00,935,4492.97,935.0
2021-09-15 10:15:00,910,4482.6587,932.5
2021-09-15 10:16:00,935,4492.97,932.5
2021-09-15 10:17:00,935,4490.8867,932.5
2021-09-15 10:18:00,935,4491.3267,932.5
2021-09-15 10:19:00,935,4491.3267,932.5
2021-09-15 10:20:00,935,4498.948,932.5
2021-09-15 10:21:00,935,4498.948,932.5
2021-09-15 10:22:00,935,4500.4316,932.5
2021-09-15 10:23:00,935,4500.8716,932.5
2021-09-15 10:24:00,935,4500.8716,932.5
2021-09-15 10:25:00,935,4500.8716,935.0
2021-09-15 10:26:00,935,4500.8716,935.0
2021-09-15 10:27:00,935,4498.3525,935.0
2021-09-15 10:28:00,935,4498.3525,935.0
2021-09-15 10:29:00,935,4497.9126,935.0
2021-09-15 10:30:00,935,4498.2095,935.0
2021-09-15 10:31:00,935,4498.2095,935.0
2021-09-15 10:32:00,935,4498.2095,935.0
2021-09-15 10:33:00,935,4498.2095,935.0
2021-09-15 10:34:00,935,4533.522,935.0
2021-09-15 10:35:00,935,4496.8423,935.0
2021-09-15 10:36:00,935,4484.766,935.0
2021-09-15 10:37:00,935,4481.5986,935.0
2021-09-15 10:38:00,935,4484.0293,935.0
2021-09-15 10:39:00,935,4484.0293,935.0
2021-09-15 10:40:00,935,4484.469,935.0
2021-09-15 10:41:00,935,4484.0293,935.0
2021-09-15 10:42:00,935,4487.7285,935.0
2021-09-15 10:43:00,935,4487.7285,935.0
2021-09-15 10:44:00,935,4487.7285,935.0
2021-09-15 10:45:00,935,4497.9126,935.0
2021-09-15 10:46:00,935,4497.9126,935.0
2021-09-15 10:47:00,935,4497.9126,935.0
2021-09-15 10:48:00,935,4497.9126,935.0
2021-09-15 10:49:00,935,4497.2446,935.0
2021-09-15 10:50:00,935,4498.6494,935.0
2021-09-15 10:51:00,935,4498.2095,935.0
